Lookup_7_digit_VIN,1,Production Year,Brand Name,Series ,Badge,Body Code,Body Style,Cylinders,Drive Line,AWD/RWD,Fuel,Product Name
0608450,2,1988,BMW,6 SERIES,635CSi,e24,Coupe,6 cyl,Manual,RWD,Gas,1) Serious offers Requested:C COLLECTIBLE 0608450 BMW NOV 1988 E24 635CSi M30 5Spd MANUAL Euro All Parts
0613736,3,1986,BMW,6 SERIES,635CSi,e24,Coupe,6 cyl,Automatic,RWD,Gas,DISMANTLED - e24 0613736 V BMW e24 635CSi  Built 07 1986 M30 6 Cyl Auto 0613736
0637746,4,1984,BMW,7 SERIES,735i,e23,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e23 0637746 V BMW E23 735i BUILT Dec 1984 6 cyl m30 5 SPD MANUAL (1976-1989) 0637746
0653578,5,1985,BMW,5 SERIES,535i,e28,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e28 0653578 Sedan V BMW E28 535I M30 6 CYL 5 SPEED MANUAL BUILT MARCH 1985 0653578V BMW E28 535I M30 6 CYL 5 SPEED MAN
0683089,6,1986,BMW,6 SERIES,633CSi,e24,Sedan,6 cyl,Automatic,RWD,Gas,DISMANTLED - e24 0683089 C BMW e24 633CSi  Feb 1986 M30 Automatic Red on Black 0683089
0687780,7,1985,BMW,3 SERIES,318i,e30,Sedan,4 cyl,Automatic,RWD,Gas,DISMANTLED - e30 0687780 Sedan C 0687780 BMW E30 318i M10 AUTO  BRONZIT ON CLOTH WINDER
0978086,8,1986,BMW,7 SERIES,735i,e23,Coupe,6 cyl,Automatic,RWD,Gas,DISMANTLED - e23 0978086 V BMW E23 735I MARCH 1986 M30 6 Cyl Auto Gray 0978086
1191316,9,1983,BMW,5 SERIES,533i,e28,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e28 1191316 Sedan V BMW E28 533i M30 6 CYL 5 SPEED MANUAL BUILT DEC 1983 1191316 BRONZIT
1683172,10,1986,BMW,3 SERIES,325e,e30,Coupe,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 1683172 Coupe C BMW E30 1981-1994  325E SEPT 1986 M20 6 cyl Manual 1683172 BMW-Luvv
1688720,11,1987,BMW,3 SERIES,325e,e30,Coupe,6 cyl,Automatic,RWD,Gas,DISMANTLED - e30 1688720 Coupe V BMW e30 325e  2 dr M20 6 cyl June 1987 Auto 1688720
2081461,12,1988,BMW,5 SERIES,525i,e34,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e34 2081461 Sedan V 2081461 BMW E34 525i  BUILT AUG 1988 M20 AUTO Alpin-weiss
2100138,13,1973,BMW,NEW CLASS,3.0 S,e3,Sedan,6 cyl,Manual,RWD,Gas,DISMANTLED - e3 2100138 V BMW e3 BAVARIA 3.0 S built NOV 1973 manual Black on black 2100138 Parts
2320365,14,1986,BMW,3 SERIES,325i,e30,Coupe,6 cyl,Manual,RWD,Gas,DISMANTLED - e30 2320365 Coupe V BMW e30 325i 2dr  M20 5 speed Dec 1986 Only 2320365
2362205,15,1974,BMW,NEW CLASS,2002,e9,Touring,4 cyl,Manual,RWD,Gas,DISMANTLED - 02 Series 2362205 Sedan V 2362205 BMW 2002 4 SPEED MANUAL M10 BUILT JULY 1974 Euro All Parts
